posid,WHOLE BLOOD/UNS,patient
chr17+65039344,2,p304002
chr17+65787445,1,p304002
chr17+6581161,1,p304002
chr17+66310042,1,p304002
chr17+67201072,1,p304002
chr17+67342334,1,p304002
chr17+7226735,1,p304002
chr17+73946327,1,p304002
chr17+75148272,1,p304002
chr17+75168678,1,p304002
chr17+75252896,1,p304002
chr17+75329787,1,p304002
chr17+75359887,1,p304002
chr17+75370377,1,p304002
chr17+75370409,1,p304002
chr17+75375153,1,p304002
chr17+7603692,1,p304002
chr17+76053678,1,p304002
chr17+76060290,1,p304002
chr17+7608802,1,p304002
chr17+76189295,1,p304002
chr17+76224811,2,p304002
chr17+76330325,1,p304002
chr17+76331895,1,p304002
chr17+7665193,1,p304002
chr17+77160351,1,p304002
chr17+77167755,1,p304002
chr17+77348544,1,p304002
chr17+77975218,1,p304002
chr17+77976322,1,p304002
chr17+77979193,1,p304002
chr17+77992475,1,p304002
chr17+78009213,1,p304002
chr17+78032005,1,p304002
chr17+78033948,1,p304002
chr17+78050047,1,p304002
chr17+78051854,1,p304002
chr17+78060918,1,p304002
chr17+78061739,1,p304002
chr17+78061819,1,p304002
chr17+78061900,1,p304002
chr17+78159302,2,p304002
chr17+78327869,2,p304002
chr17+78405343,1,p304002
chr17+78725362,2,p304002
chr17+7878437,1,p304002
chr17+80231856,1,p304002
chr17+80361751,1,p304002
chr17+80618361,2,p304002
chr17+80625585,1,p304002
chr17+80728333,1,p304002
chr17+80814156,1,p304002
chr17+80831341,1,p304002
chr17+80842664,1,p304002
chr17+80864831,1,p304002
chr17+81215656,1,p304002
chr17+81848856,1,p304002
chr17+82166605,1,p304002
chr17+82270440,1,p304002
chr17+82344625,1,p304002
chr17+82422419,1,p304002
chr17+82523591,1,p304002
chr17+82525631,1,p304002
chr17+82532658,1,p304002
chr17+82557775,1,p304002
chr17+82604208,1,p304002
chr17+82992860,1,p304002
chr17+82999968,1,p304002
chr17+83047942,2,p304002
chr17+8441540,1,p304002
chr17+8548606,1,p304002
chr17+8556100,1,p304002
chr17+8591633,1,p304002
chr17+8604744,1,p304002
chr17+9480379,2,p304002
chr18-13745159,1,p304002
chr18-15811159,1,p304002
chr18-20987735,1,p304002
chr18-21849632,1,p304002
chr18-22944234,1,p304002
chr18-26271835,1,p304002
chr18-2763839,1,p304002
chr18-28980475,1,p304002
chr18-29182621,1,p304002
chr18-32026407,1,p304002
chr18-32336338,1,p304002
chr18-42289473,1,p304002
chr18-47127052,1,p304002
chr18-49436890,1,p304002
chr18-5095432,1,p304002
chr18-51194016,1,p304002
chr18-54157257,1,p304002
chr18-54823669,1,p304002
chr18-55512612,1,p304002
chr18-55555033,1,p304002
chr18-60085809,1,p304002
chr18-60761457,1,p304002
chr18-62536807,1,p304002
chr18-64321649,1,p304002
chr18-65664698,1,p304002
chr18-65875267,1,p304002
chr18-66582069,1,p304002
chr18-66672436,1,p304002
chr18-68682186,1,p304002
chr18-68762572,1,p304002
chr18-70966000,1,p304002
chr18-72130372,1,p304002
chr18-73684020,1,p304002
chr18-74700252,1,p304002
chr18-74744739,1,p304002
chr18-7570546,1,p304002
chr18-77390109,1,p304002
chr18-9924829,1,p304002
chr18-9930684,1,p304002
chr18-9935473,1,p304002
chr18+11049028,1,p304002
chr18+12496137,1,p304002
chr18+12838352,1,p304002
chr18+12863215,1,p304002
chr18+13018382,1,p304002
chr18+1823886,1,p304002
chr18+198377,1,p304002
chr18+21015545,1,p304002
chr18+21619611,1,p304002
chr18+24041694,1,p304002
chr18+24310894,1,p304002
chr18+27602448,1,p304002
chr18+27996670,1,p304002
chr18+31787274,1,p304002
chr18+32188485,1,p304002
chr18+33681598,1,p304002
chr18+34918243,1,p304002
chr18+36842831,1,p304002
chr18+36851251,1,p304002
chr18+38100905,1,p304002
chr18+39653319,1,p304002
chr18+44145997,1,p304002
chr18+44665655,1,p304002
chr18+45893137,1,p304002
chr18+46227532,1,p304002
chr18+47847448,1,p304002
chr18+54375799,1,p304002
chr18+55520193,1,p304002
chr18+56054726,1,p304002
chr18+61018988,1,p304002
chr18+62104830,1,p304002
chr18+62219725,1,p304002
chr18+62220259,1,p304002
chr18+62238686,1,p304002
chr18+6288903,1,p304002
chr18+64503274,1,p304002
chr18+64876441,1,p304002
chr18+65360162,2,p304002
chr18+66732756,1,p304002
chr18+67151462,1,p304002
chr18+70005316,1,p304002
chr18+70058082,1,p304002
chr18+70147983,1,p304002
chr18+70159361,1,p304002
chr18+70939565,1,p304002
chr18+72558309,1,p304002
chr18+73016072,1,p304002
chr18+74409471,1,p304002
chr18+79136797,1,p304002
chr18+7918332,1,p304002
chr18+79190318,1,p304002
chr18+9562840,1,p304002
chr19-10179873,1,p304002
chr19-10298929,1,p304002
chr19-1058135,1,p304002
chr19-10604505,1,p304002
chr19-10657805,1,p304002
chr19-10663284,1,p304002
chr19-10670255,1,p304002
chr19-10673310,1,p304002
chr19-10729843,1,p304002
chr19-10885143,1,p304002
chr19-11118014,1,p304002
chr19-11183386,1,p304002
chr19-11995180,1,p304002
chr19-1210757,1,p304002
chr19-1226773,1,p304002
chr19-12279578,1,p304002
chr19-12324219,1,p304002
chr19-12458046,1,p304002
chr19-12629826,1,p304002
chr19-12631494,1,p304002
chr19-13039818,1,p304002
chr19-13126799,1,p304002
chr19-14040409,1,p304002
chr19-14455490,1,p304002
chr19-14772610,1,p304002
chr19-14838097,1,p304002
chr19-14907928,1,p304002
chr19-15302345,1,p304002
chr19-15303725,2,p304002
chr19-15306563,1,p304002
chr19-15322103,1,p304002
chr19-15330819,1,p304002
chr19-15336464,1,p304002
chr19-15411487,1,p304002
chr19-15829891,1,p304002
chr19-16148630,1,p304002
chr19-16222462,2,p304002
chr19-1641270,1,p304002
chr19-17095959,1,p304002
chr19-17137264,1,p304002
chr19-17561300,1,p304002
chr19-17570516,1,p304002
chr19-18033544,1,p304002
chr19-19180708,1,p304002
chr19-1959403,1,p304002
chr19-1971810,1,p304002
chr19-1995270,1,p304002
chr19-21304037,1,p304002
chr19-2244260,1,p304002
chr19-24129460,1,p304002
chr19-2607923,1,p304002
chr19-2716983,1,p304002
chr19-27743114,1,p304002
chr19-2935022,1,p304002
chr19-29973422,1,p304002
chr19-30014638,1,p304002
chr19-33071487,1,p304002
chr19-3403247,1,p304002
chr19-34226263,1,p304002
chr19-34443661,1,p304002
chr19-36207884,1,p304002
chr19-36219883,1,p304002
chr19-36391463,1,p304002
chr19-36690940,2,p304002
chr19-3683685,1,p304002
chr19-36898079,1,p304002
chr19-36898624,1,p304002
chr19-3690672,1,p304002
chr19-36940273,1,p304002
chr19-37513649,1,p304002
chr19-37955839,1,p304002
chr19-38671443,1,p304002
chr19-40082441,1,p304002
chr19-40315015,1,p304002
chr19-40585244,1,p304002
chr19-4149189,1,p304002
chr19-41561049,1,p304002
chr19-41899083,1,p304002
chr19-41900778,2,p304002
chr19-42013892,1,p304002
chr19-44078997,1,p304002
chr19-44701645,1,p304002
chr19-45502700,1,p304002
chr19-45519879,1,p304002
chr19-45840455,1,p304002
chr19-46774933,1,p304002
chr19-46926744,1,p304002
chr19-46973042,1,p304002
chr19-47169442,1,p304002
chr19-47176055,1,p304002
chr19-47195685,1,p304002
chr19-4746738,1,p304002
chr19-47621079,1,p304002
chr19-47690862,1,p304002
chr19-48220985,1,p304002
chr19-48252852,1,p304002
chr19-49311699,1,p304002
chr19-49563860,1,p304002
chr19-49603618,2,p304002
chr19-49603634,1,p304002
chr19-49603812,1,p304002
chr19-49610409,1,p304002
chr19-49613015,1,p304002
chr19-49613693,1,p304002
chr19-49785708,1,p304002
chr19-49845209,1,p304002
chr19-51229209,1,p304002
chr19-51886533,1,p304002
chr19-52158526,1,p304002
chr19-52405831,1,p304002
chr19-52590379,1,p304002
chr19-53411646,1,p304002
chr19-53437939,1,p304002
chr19-53475433,1,p304002
chr19-54368226,1,p304002
chr19-54565007,1,p304002
chr19-54874423,1,p304002
chr19-55232761,1,p304002
chr19-55257961,1,p304002
chr19-55664471,1,p304002
chr19-5612250,1,p304002
chr19-5619979,1,p304002
chr19-5632926,1,p304002
chr19-5636202,1,p304002
chr19-56410206,1,p304002
chr19-57402302,1,p304002
chr19-58436123,1,p304002
chr19-58601223,1,p304002
chr19-6147997,1,p304002
chr19-6258307,2,p304002
chr19-6479637,1,p304002
chr19-669882,1,p304002
chr19-6782019,1,p304002
chr19-6783830,1,p304002
chr19-6823755,1,p304002
chr19-6839786,1,p304002
chr19-6845971,1,p304002
chr19-6846242,1,p304002
chr19-7165678,1,p304002
chr19-7997276,1,p304002
chr19-809684,1,p304002
chr19-8459897,1,p304002
chr19-8460680,1,p304002
chr19-8460957,1,p304002
chr19-8461002,1,p304002
chr19-8461928,1,p304002
chr19-8463934,1,p304002
chr19-9346584,1,p304002
chr19-9424204,1,p304002
chr19-9632110,1,p304002
chr19-9634941,1,p304002
chr19-9645611,3,p304002
chr19+10169721,1,p304002
chr19+10181492,1,p304002
chr19+10187754,1,p304002
chr19+10241642,1,p304002
chr19+10311121,1,p304002
chr19+10325045,1,p304002
chr19+10557569,1,p304002
chr19+10658742,1,p304002
chr19+10661983,1,p304002
chr19+10666943,1,p304002
chr19+10668564,1,p304002
chr19+1071101,1,p304002
chr19+10735231,1,p304002
chr19+10740447,1,p304002
chr19+10774417,1,p304002
chr19+10779808,1,p304002
chr19+1151694,1,p304002
chr19+11523435,1,p304002
chr19+1152497,1,p304002
chr19+12112863,1,p304002
chr19+12168300,1,p304002
chr19+12190139,1,p304002
chr19+12328835,1,p304002
chr19+12343667,2,p304002
chr19+12394521,1,p304002
chr19+12421949,1,p304002
chr19+12532816,1,p304002
chr19+12534283,1,p304002
chr19+12593111,1,p304002
chr19+12877161,1,p304002
chr19+13041278,1,p304002
chr19+13047438,1,p304002
chr19+1374319,1,p304002
chr19+14456458,1,p304002
chr19+14908614,1,p304002
chr19+15279793,1,p304002
chr19+15385461,1,p304002
chr19+15390092,1,p304002
chr19+15406762,1,p304002
chr19+15477105,1,p304002
chr19+1585822,1,p304002
chr19+16109596,1,p304002
chr19+16137567,1,p304002
chr19+16162140,1,p304002
chr19+16646867,1,p304002
chr19+18513583,2,p304002
chr19+19312857,1,p304002
chr19+1958975,1,p304002
chr19+2001758,1,p304002
chr19+2137253,1,p304002
chr19+2148791,1,p304002
chr19+2295763,1,p304002
chr19+2400401,1,p304002
chr19+24124267,1,p304002
chr19+2532205,1,p304002
chr19+2594295,1,p304002
chr19+2780945,1,p304002
chr19+2838827,1,p304002
chr19+2917437,1,p304002
chr19+2980076,1,p304002
chr19+29980368,1,p304002
chr19+29990799,1,p304002
chr19+3053516,1,p304002
chr19+3119012,1,p304002
chr19+33927297,1,p304002
chr19+3399289,1,p304002
chr19+34188961,1,p304002
chr19+34953797,1,p304002
chr19+35189287,1,p304002
chr19+35389232,1,p304002
chr19+35445095,1,p304002
chr19+36197941,1,p304002
chr19+36357010,1,p304002
chr19+36702620,1,p304002
chr19+3682117,1,p304002
chr19+36902995,1,p304002
chr19+37606569,1,p304002
chr19+37753506,1,p304002
chr19+37774911,1,p304002
chr19+40005298,1,p304002
chr19+40086675,1,p304002
chr19+40299075,1,p304002
chr19+40372605,1,p304002
chr19+40556483,1,p304002
chr19+42031637,1,p304002
chr19+42048909,1,p304002
chr19+42493139,2,p304002
chr19+43844533,1,p304002
chr19+43927891,2,p304002
chr19+43962986,1,p304002
chr19+4416048,1,p304002
chr19+44479504,1,p304002
chr19+44968315,1,p304002
chr19+45685697,1,p304002
chr19+45831359,1,p304002
chr19+45840639,1,p304002
chr19+45841519,1,p304002
chr19+46870624,1,p304002
chr19+4692241,1,p304002
chr19+46937719,1,p304002
chr19+47102065,1,p304002
chr19+47172819,1,p304002
chr19+48427142,1,p304002
chr19+48882771,1,p304002
chr19+48919632,1,p304002
chr19+48945792,1,p304002
chr19+48974326,1,p304002
chr19+49322238,1,p304002
chr19+49565481,1,p304002
chr19+49750226,1,p304002
chr19+49797969,1,p304002
chr19+49821390,1,p304002
chr19+49866236,1,p304002
chr19+49899755,1,p304002
chr19+49920059,1,p304002
chr19+50013269,1,p304002
chr19+51231626,1,p304002
chr19+51262963,1,p304002
chr19+51264470,1,p304002
chr19+51584591,1,p304002
chr19+51622166,1,p304002
chr19+52091432,1,p304002
chr19+52290709,1,p304002
chr19+52562764,1,p304002
chr19+52588775,1,p304002
chr19+52653741,1,p304002
chr19+52844339,1,p304002
chr19+52890460,1,p304002
chr19+52903747,1,p304002
chr19+52987174,2,p304002
chr19+53082008,1,p304002
chr19+53172984,1,p304002
chr19+53356515,1,p304002
chr19+54205073,1,p304002
chr19+55233210,1,p304002
chr19+5614442,1,p304002
chr19+5621344,1,p304002
chr19+56232486,1,p304002
chr19+5631292,1,p304002
chr19+5635623,1,p304002
chr19+5640038,1,p304002
chr19+56455029,1,p304002
chr19+56492484,1,p304002
chr19+57285902,1,p304002
chr19+57691013,1,p304002
chr19+58090796,1,p304002
chr19+58532010,1,p304002
chr19+5956653,2,p304002
chr19+6232943,1,p304002
chr19+6269940,1,p304002
chr19+652220,1,p304002
chr19+6761290,1,p304002
chr19+6845504,1,p304002
chr19+6845745,1,p304002
chr19+8235123,1,p304002
chr19+8456207,1,p304002
chr19+8460010,1,p304002
chr19+8461287,1,p304002
chr19+8462132,1,p304002
chr19+9432946,1,p304002
chr19+9573249,1,p304002
chr19+965448,1,p304002
chr19+970947,1,p304002
chr2-101745416,1,p304002
chr2-103114330,1,p304002
chr2-105362454,1,p304002
chr2-108735151,1,p304002
chr2-110658780,1,p304002
chr2-115751148,1,p304002
chr2-119881519,1,p304002
chr2-120093362,1,p304002
chr2-122100576,1,p304002
chr2-122216167,1,p304002
chr2-122732114,1,p304002
chr2-122957837,1,p304002
chr2-123152134,1,p304002
chr2-124077901,1,p304002
chr2-134928703,1,p304002
chr2-134938049,1,p304002
chr2-135651258,1,p304002
chr2-138398709,1,p304002
chr2-138550161,1,p304002
chr2-138573592,1,p304002
chr2-140785104,1,p304002
chr2-142711198,1,p304002
chr2-143592882,1,p304002
chr2-147848653,1,p304002
chr2-147885387,1,p304002
chr2-147895171,1,p304002
chr2-148651186,1,p304002
chr2-149119359,1,p304002
chr2-150014598,1,p304002
chr2-152734845,2,p304002
chr2-15422737,1,p304002
chr2-154277408,1,p304002
chr2-154914097,1,p304002
chr2-155242065,1,p304002
chr2-15533578,1,p304002
chr2-155518351,1,p304002
chr2-157774025,1,p304002
chr2-159433188,1,p304002
chr2-162354769,2,p304002
chr2-164836171,1,p304002
chr2-164941378,1,p304002
chr2-169805056,1,p304002
chr2-170009173,1,p304002
chr2-17083312,1,p304002
chr2-171125656,2,p304002
chr2-172049440,1,p304002
chr2-172487475,1,p304002
chr2-173915370,1,p304002
chr2-173939562,1,p304002
chr2-174108556,1,p304002
chr2-174173692,1,p304002
chr2-174371576,1,p304002
chr2-175974367,1,p304002
chr2-176271464,1,p304002
chr2-176328841,1,p304002
chr2-177462789,1,p304002
chr2-177481469,1,p304002
chr2-17768638,1,p304002
chr2-178229161,1,p304002
chr2-178466272,1,p304002
chr2-178588417,2,p304002
chr2-181869406,1,p304002
chr2-182539218,1,p304002
chr2-182749058,1,p304002
chr2-182959039,1,p304002
chr2-184849828,1,p304002
chr2-186198449,1,p304002
chr2-186868945,1,p304002
chr2-189722965,1,p304002
chr2-19340944,1,p304002
chr2-193450064,1,p304002
chr2-195148451,1,p304002
chr2-195165766,1,p304002
chr2-197869401,1,p304002
chr2-199830702,1,p304002
chr2-200974239,1,p304002
chr2-200977990,1,p304002
chr2-201418951,1,p304002
chr2-20338555,1,p304002
chr2-204063196,1,p304002
chr2-204714085,2,p304002
chr2-207303988,1,p304002
chr2-207937886,1,p304002
chr2-208092200,1,p304002
chr2-210141229,1,p304002
chr2-210166540,1,p304002
chr2-213096286,1,p304002
chr2-214735490,1,p304002
chr2-214846396,1,p304002
chr2-219093638,1,p304002
chr2-222928035,1,p304002
chr2-224983898,1,p304002
chr2-227341138,1,p304002
chr2-227886441,1,p304002
chr2-230364457,1,p304002
chr2-231116771,1,p304002
chr2-232102653,1,p304002
chr2-233071895,1,p304002
chr2-233673828,1,p304002
chr2-240945946,1,p304002
chr2-241338147,1,p304002
chr2-241401497,1,p304002
chr2-241401768,1,p304002
chr2-25795639,1,p304002
chr2-25807543,1,p304002
chr2-28046783,1,p304002
chr2-28094008,1,p304002
chr2-29134865,1,p304002
chr2-31896681,1,p304002
chr2-32377962,1,p304002
chr2-32419830,1,p304002
chr2-36847315,1,p304002
chr2-41174762,1,p304002
chr2-42871352,2,p304002
chr2-43513792,1,p304002
chr2-45534783,1,p304002
chr2-46750116,1,p304002
chr2-47045768,1,p304002
chr2-47824876,1,p304002
chr2-47937135,1,p304002
chr2-48371160,1,p304002
chr2-49750027,1,p304002
chr2-57427999,1,p304002
chr2-61313630,1,p304002
chr2-62832681,1,p304002
chr2-63018687,1,p304002
chr2-6399091,1,p304002
chr2-65063758,1,p304002
chr2-68203400,2,p304002
chr2-71360964,1,p304002
chr2-74155355,1,p304002
chr2-79224490,1,p304002
chr2-81747522,1,p304002
chr2-83217336,1,p304002
chr2-86511505,1,p304002
chr2-94541712,1,p304002
chr2-95099191,3,p304002
chr2-96320316,1,p304002
chr2-99410076,1,p304002
chr2+106229242,1,p304002
chr2+111636388,1,p304002
chr2+112561210,1,p304002
chr2+112752395,1,p304002
chr2+11291540,1,p304002
chr2+113013457,1,p304002
chr2+113648619,1,p304002
chr2+113900991,1,p304002
chr2+115606570,1,p304002
chr2+115655899,1,p304002
chr2+138511557,1,p304002
chr2+138571301,1,p304002
chr2+138840368,1,p304002
chr2+142122443,1,p304002
chr2+144163391,1,p304002
chr2+145965141,1,p304002
chr2+147558097,1,p304002
chr2+148209110,1,p304002
chr2+148433383,1,p304002
chr2+148750414,1,p304002
chr2+149618364,5,p304002
chr2+15208894,1,p304002
chr2+152745508,1,p304002
chr2+154145740,1,p304002
chr2+154389038,1,p304002
chr2+154456519,1,p304002
chr2+155176223,1,p304002
chr2+155452915,1,p304002
chr2+156493307,1,p304002
chr2+156504440,2,p304002
chr2+158595770,1,p304002
chr2+159943821,1,p304002
chr2+162353573,1,p304002
chr2+165144765,1,p304002
chr2+165501179,1,p304002
chr2+165910774,2,p304002
chr2+167995316,2,p304002
chr2+168075307,1,p304002
chr2+168286040,1,p304002
chr2+168514919,1,p304002
chr2+171058796,1,p304002
chr2+171180988,1,p304002
chr2+171713964,1,p304002
chr2+171961177,1,p304002
chr2+17219553,1,p304002
chr2+172418424,1,p304002
chr2+173937431,1,p304002
chr2+174912407,1,p304002
chr2+177516089,1,p304002
chr2+181005810,1,p304002
chr2+182085039,1,p304002
chr2+183243292,1,p304002
chr2+185433403,1,p304002
chr2+185449445,1,p304002
chr2+185676614,1,p304002
chr2+186659604,1,p304002
chr2+186667828,1,p304002
chr2+186875123,1,p304002
chr2+190914513,1,p304002
chr2+19335572,1,p304002
chr2+197882728,1,p304002
chr2+199948571,1,p304002
chr2+206714395,1,p304002
chr2+207570216,1,p304002
chr2+20799710,2,p304002
chr2+209187757,1,p304002
chr2+209445784,1,p304002
chr2+210454489,1,p304002
chr2+211879844,1,p304002
chr2+213074944,1,p304002
chr2+213300810,1,p304002
chr2+213844601,1,p304002
chr2+21412352,1,p304002
chr2+218547712,1,p304002
chr2+220654304,1,p304002
chr2+221131861,1,p304002
chr2+224525848,1,p304002
chr2+225022911,1,p304002
chr2+227526932,1,p304002
chr2+231116314,1,p304002
chr2+232402160,1,p304002
chr2+23809575,1,p304002
chr2+23867692,1,p304002
chr2+240544256,1,p304002
chr2+240561,1,p304002
chr2+241259170,1,p304002
chr2+241283053,1,p304002
chr2+241530113,1,p304002
chr2+241831724,1,p304002
chr2+242133704,1,p304002
chr2+24344750,1,p304002
chr2+24572763,1,p304002
chr2+24617590,1,p304002
chr2+24643109,1,p304002
chr2+24670157,1,p304002
chr2+25462247,1,p304002
chr2+25575787,1,p304002
chr2+25618336,1,p304002
chr2+26070525,1,p304002
chr2+26104463,1,p304002
chr2+28006307,1,p304002
chr2+32399890,1,p304002
chr2+32529147,1,p304002
chr2+33328839,2,p304002
chr2+34821079,2,p304002
chr2+34851138,1,p304002
chr2+37284679,1,p304002
chr2+40977681,1,p304002
chr2+41162184,1,p304002
chr2+42269861,1,p304002
chr2+45412010,1,p304002
chr2+48373555,1,p304002
chr2+50295331,1,p304002
chr2+54578921,1,p304002
chr2+57864286,1,p304002
chr2+58072537,1,p304002
chr2+61280101,1,p304002
chr2+62722562,1,p304002
chr2+63380394,1,p304002
chr2+6356866,1,p304002
chr2+68206537,1,p304002
chr2+68235594,1,p304002
chr2+68243063,1,p304002
chr2+69773668,1,p304002
chr2+73576327,1,p304002
chr2+76861818,1,p304002
chr2+79312222,1,p304002
chr2+80716835,1,p304002
chr2+81742510,2,p304002
chr2+81901219,1,p304002
chr2+82198098,1,p304002
chr2+82826283,1,p304002
chr2+84205924,2,p304002
chr2+9521490,1,p304002
chr2+95988939,1,p304002
chr2+97152199,1,p304002
chr2+97858411,1,p304002
chr2+97955728,1,p304002
chr20-1139376,1,p304002
chr20-13403959,1,p304002
chr20-1364472,1,p304002
chr20-20456729,1,p304002
chr20-208410,1,p304002
chr20-25638257,1,p304002
chr20-2645046,1,p304002
chr20-2854629,1,p304002
chr20-2951950,1,p304002
chr20-3061068,1,p304002
chr20-3061900,1,p304002
chr20-33537845,1,p304002
chr20-33677905,1,p304002
chr20-34781787,1,p304002
chr20-34809014,1,p304002
chr20-35076150,1,p304002
chr20-3510698,1,p304002
chr20-35644919,1,p304002
chr20-35660967,1,p304002
chr20-35703352,1,p304002
chr20-35731322,1,p304002
chr20-38027190,1,p304002
chr20-38040871,1,p304002
chr20-3954572,1,p304002
chr20-4004367,1,p304002
chr20-41576449,1,p304002
chr20-44541623,1,p304002
chr20-44975450,1,p304002
chr20-45021814,1,p304002
chr20-47513320,1,p304002
chr20-47547267,1,p304002
chr20-47557488,1,p304002
chr20-49072165,1,p304002
chr20-49153536,1,p304002
chr20-509010,1,p304002
chr20-511545,1,p304002
chr20-56123009,1,p304002
chr20-59973782,1,p304002
chr20-60861366,1,p304002
chr20-62626812,1,p304002
chr20-62927826,1,p304002
chr20-63605746,1,p304002
chr20-63920827,1,p304002
chr20-63924802,1,p304002
chr20-6778073,1,p304002
chr20-8089254,2,p304002
chr20-8190307,1,p304002
chr20-8401806,1,p304002
chr20+15159017,1,p304002
chr20+2499630,1,p304002
chr20+2956483,1,p304002
chr20+3346125,1,p304002
chr20+3352388,1,p304002
chr20+34389265,1,p304002
chr20+34398635,1,p304002
chr20+34412272,1,p304002
chr20+35052837,1,p304002
chr20+35077675,1,p304002
chr20+35140931,1,p304002
chr20+3961213,1,p304002
chr20+40383422,1,p304002
chr20+414302,1,p304002
chr20+41486857,1,p304002
chr20+44510124,1,p304002
chr20+45331936,1,p304002
chr20+45862302,1,p304002
chr20+46080108,1,p304002
chr20+47504338,1,p304002
chr20+47578278,1,p304002
chr20+47589007,1,p304002
chr20+49062885,1,p304002
chr20+4907911,1,p304002
chr20+49089398,1,p304002
chr20+49645892,1,p304002
chr20+49692167,1,p304002
chr20+49969237,1,p304002
chr20+50092851,1,p304002
chr20+52488576,1,p304002
chr20+56684252,1,p304002
chr20+59879206,1,p304002
chr20+59919305,1,p304002
chr20+60120298,1,p304002
chr20+63713575,1,p304002
chr20+63719169,2,p304002
chr20+63912416,1,p304002
chr20+8207476,1,p304002
chr20+8580313,1,p304002
chr21-14989452,1,p304002
chr21-15451717,1,p304002
chr21-19746952,1,p304002
chr21-20072339,1,p304002
chr21-20271442,2,p304002
chr21-20568269,1,p304002
chr21-21359064,1,p304002
chr21-22902999,1,p304002
chr21-25428022,1,p304002
chr21-31722522,1,p304002
chr21-34880302,1,p304002
chr21-37418245,1,p304002
chr21-37430752,1,p304002
chr21-37488767,1,p304002
chr21-38518300,1,p304002
chr21-42205332,1,p304002
chr21-44090562,1,p304002
chr21-44783436,1,p304002
chr21-45121143,1,p304002
chr21-46344573,1,p304002
chr21-7231704,1,p304002
chr21+10129766,1,p304002
chr21+15035856,1,p304002
chr21+15104264,1,p304002
chr21+15858916,1,p304002
chr21+16250909,1,p304002
chr21+16343899,1,p304002
chr21+16519027,1,p304002
chr21+17243794,1,p304002
chr21+17990053,1,p304002
chr21+18374883,1,p304002
chr21+19402494,1,p304002
chr21+19771580,1,p304002
chr21+20113061,1,p304002
chr21+20471628,1,p304002
chr21+21178357,1,p304002
chr21+21241745,1,p304002
chr21+23797121,1,p304002
chr21+26549135,1,p304002
chr21+33705676,1,p304002
chr21+34847165,1,p304002
chr21+37418869,1,p304002
chr21+37441530,1,p304002
chr21+37465624,1,p304002
chr21+38515894,1,p304002
chr21+38826171,1,p304002
chr21+39225193,1,p304002
chr21+42226400,1,p304002
chr21+43598719,1,p304002
chr21+45169678,1,p304002
chr21+45216868,1,p304002
chr21+45657922,1,p304002
chr21+46407059,1,p304002
chr21+46496065,1,p304002
chr21+46567272,1,p304002
chr22-12372267,1,p304002
chr22-16616951,1,p304002
chr22-18892862,1,p304002
chr22-20540911,1,p304002
chr22-20938866,1,p304002
chr22-21574791,1,p304002
chr22-21623485,1,p304002
chr22-21824118,1,p304002
chr22-21851762,1,p304002
chr22-22718304,1,p304002
chr22-24310405,1,p304002
chr22-24325995,1,p304002
chr22-24352909,1,p304002
chr22-25641634,1,p304002
chr22-28286040,2,p304002
chr22-28657926,1,p304002
chr22-28976005,1,p304002
chr22-29285324,1,p304002
chr22-29914602,1,p304002
chr22-29937452,1,p304002
chr22-29967217,1,p304002
chr22-30175064,1,p304002
chr22-35763099,1,p304002
chr22-35775382,1,p304002
chr22-36357921,1,p304002
chr22-38095595,1,p304002
chr22-38157241,1,p304002
chr22-38492180,1,p304002
chr22-38502604,1,p304002
chr22-40458407,1,p304002
chr22-40621963,1,p304002
chr22-40835341,1,p304002
chr22-40840281,1,p304002
chr22-40854537,1,p304002
chr22-41115825,1,p304002
chr22-41139585,2,p304002
chr22-41166845,1,p304002
chr22-41317832,1,p304002
chr22-42256274,1,p304002
chr22-42963437,1,p304002
chr22-44652157,1,p304002
chr22-45173552,1,p304002
chr22-45704505,1,p304002
chr22-45739394,1,p304002
chr22-49650636,1,p304002
chr22-49790576,1,p304002
chr22-49793427,1,p304002
chr22-49843570,1,p304002
chr22-49876821,1,p304002
chr22-49926547,1,p304002
chr22-50357457,1,p304002
chr22-50359625,1,p304002
chr22-50366523,1,p304002
chr22-50408083,1,p304002
chr22-50426352,1,p304002
chr22-50428272,2,p304002
chr22-50692777,1,p304002
chr22-50762298,1,p304002
chr22+16863537,1,p304002
chr22+19265386,1,p304002
chr22+19333527,1,p304002
chr22+20050912,1,p304002
chr22+20448679,1,p304002
chr22+21109790,1,p304002
chr22+24326160,1,p304002
chr22+25628904,1,p304002
chr22+25661352,1,p304002
chr22+27625607,1,p304002
chr22+28296383,1,p304002
chr22+28353111,1,p304002
chr22+28431937,1,p304002
chr22+28454016,1,p304002
chr22+28638675,1,p304002
chr22+29149416,1,p304002
chr22+29290943,1,p304002
chr22+29918668,1,p304002
chr22+29923830,1,p304002
chr22+29937723,1,p304002
chr22+29951396,1,p304002
chr22+29966016,1,p304002
chr22+29969142,1,p304002
chr22+30163698,1,p304002
chr22+30971853,1,p304002
chr22+31525639,1,p304002
chr22+31719393,1,p304002
chr22+32704733,1,p304002
chr22+35778311,1,p304002
chr22+35947645,1,p304002
chr22+36006728,1,p304002
chr22+37663175,1,p304002
chr22+38158529,1,p304002
chr22+38207633,1,p304002
chr22+38357483,1,p304002
chr22+38362146,1,p304002
chr22+38389258,1,p304002
chr22+38490122,1,p304002
chr22+38491433,1,p304002
chr22+39503746,1,p304002
