seqnames,start,end,width,strand,refGenome,reads,patient,sampleName,GTSP,timePoint,timePointDays,timePointMonths,dataSource,posid,inFeature,nearestFeature,nearestFeatureStrand,inFeatureExon,inFeatureSameOrt,nearestFeatureDist,nearestOncoFeature,nearestOncoFeatureDist,nearestOncoFeatureStrand,nearestlymphomaFeature,nearestlymphomaFeatureDist,nearestlymphomaFeatureStrand,cellType
chr17,2508237,2508334,98,-,hg38,159,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17-2508334,TRUE,METTL16,-,FALSE,TRUE,0,SMG6,-204558,-,None.found,Inf,None.found,WHOLE BLOOD
chr16,2516758,2517122,365,-,hg38,8,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr16-2517122,TRUE,ATP6V0C,+,FALSE,FALSE,-0,CCNF,58263,+,None.found,Inf,None.found,WHOLE BLOOD
chr19,2594295,2594374,80,+,hg38,230,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19+2594295,TRUE,GNG7,-,FALSE,FALSE,-0,SPPL2B,239192,+,TCF3,-941965,-,WHOLE BLOOD
chr17,2651063,2651113,51,+,hg38,277,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17+2651063,TRUE,PAFAH1B1,+,FALSE,TRUE,-0,SMG6,-347287,-,None.found,Inf,None.found,WHOLE BLOOD
chr16,2756471,2756554,84,+,hg38,128,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr16+2756471,TRUE,SRRM2,+,TRUE,TRUE,0,CCNF,297612,+,None.found,Inf,None.found,WHOLE BLOOD
chr19,2780945,2781040,96,+,hg38,208,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19+2780945,TRUE,SGTA,-,FALSE,FALSE,0,GNA11,-313463,+,TCF3,-1128615,-,WHOLE BLOOD
chr4,2865145,2865291,147,-,hg38,53,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr4-2865291,TRUE,ADD1,+,FALSE,FALSE,0,SH3BP2,24194,+,RAP1GDS1,-95396083,+,WHOLE BLOOD
chr4,2887064,2887139,76,-,hg38,5,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr4-2887139,TRUE,ADD1,+,FALSE,FALSE,-0,SH3BP2,46042,+,RAP1GDS1,-95374235,+,WHOLE BLOOD
chr19,2917437,2917899,463,+,hg38,6,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19+2917437,TRUE,ZNF57,+,TRUE,TRUE,-0,GNA11,-176971,+,TCF3,-1265107,-,WHOLE BLOOD
chr19,2934484,2935022,539,-,hg38,1,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19-2935022,TRUE,ZNF77,-,FALSE,TRUE,-0,GNA11,-159386,+,TCF3,-1282692,-,WHOLE BLOOD
chr20,2951620,2951950,331,-,hg38,23,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr20-2951950,TRUE,PTPRA,+,FALSE,FALSE,-0,CDC25B,-834820,+,None.found,Inf,None.found,WHOLE BLOOD
chr19,3053516,3053793,278,+,hg38,36,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19+3053516,TRUE,AES,-,TRUE,FALSE,-0,GNA11,-40892,+,TCF3,-1401186,-,WHOLE BLOOD
chr20,3061546,3061900,355,-,hg38,24,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr20-3061900,FALSE,OXT,+,FALSE,FALSE,-9718,CDC25B,-724870,+,None.found,Inf,None.found,WHOLE BLOOD
chr19,3119012,3119324,313,+,hg38,65,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19+3119012,TRUE,GNA11,+,TRUE,TRUE,-0,GNA11,-0,+,TCF3,-1466682,-,WHOLE BLOOD
chr4,3273992,3274469,478,-,hg38,1,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr4-3274469,FALSE,MSANTD1,+,FALSE,FALSE,17853,SH3BP2,433372,+,RAP1GDS1,-94986905,+,WHOLE BLOOD
chr9,3321615,3321796,182,+,hg38,128,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr9+3321615,TRUE,RFX3,-,FALSE,FALSE,-0,JAK2,-1663469,+,JAK2,-1663469,+,WHOLE BLOOD
chr16,3753973,3754020,48,+,hg38,224,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr16+3753973,TRUE,CREBBP,-,FALSE,FALSE,-0,CREBBP,-0,-,None.found,Inf,None.found,WHOLE BLOOD
chr16,3837909,3838206,298,-,hg38,39,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr16-3838206,TRUE,CREBBP,-,FALSE,TRUE,0,CREBBP,0,-,None.found,Inf,None.found,WHOLE BLOOD
chrY,3912505,3912751,247,-,hg38,2,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chrY-3912751,FALSE,TGIF2LY,+,FALSE,FALSE,332709,P2RY8,-2375606,-,None.found,Inf,None.found,WHOLE BLOOD
chr20,4004194,4004367,174,-,hg38,165,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr20-4004367,TRUE,RNF24,-,FALSE,TRUE,0,CDC25B,198245,+,None.found,Inf,None.found,WHOLE BLOOD
chr11,4031818,4032180,363,+,hg38,19,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr11+4031818,TRUE,STIM1,+,FALSE,TRUE,-0,RRM1,-62865,+,NUP98,-234025,-,WHOLE BLOOD
chr17,4041272,4041534,263,+,hg38,52,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17+4041272,TRUE,ZZEF1,-,FALSE,FALSE,-0,TRPV1,-431860,-,None.found,Inf,None.found,WHOLE BLOOD
chr17,4316514,4316837,324,-,hg38,21,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17-4316837,TRUE,UBE2G1,-,FALSE,TRUE,-0,MYBBP1A,222057,-,None.found,Inf,None.found,WHOLE BLOOD
chr17,4324267,4324330,64,+,hg38,336,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17+4324267,TRUE,UBE2G1,-,FALSE,FALSE,0,MYBBP1A,214627,-,None.found,Inf,None.found,WHOLE BLOOD
chr17,4346005,4346344,340,+,hg38,9,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17+4346005,TRUE,UBE2G1,-,FALSE,FALSE,0,MYBBP1A,192889,-,None.found,Inf,None.found,WHOLE BLOOD
chr19,4416048,4416314,267,+,hg38,37,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19+4416048,TRUE,CHAF1A,+,FALSE,TRUE,0,SH3GL1,-15479,-,TCF3,-2763718,-,WHOLE BLOOD
chr17,4679063,4679322,260,+,hg38,89,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17+4679063,TRUE,PELP1,-,FALSE,FALSE,-0,ALOX15,-37389,-,None.found,Inf,None.found,WHOLE BLOOD
chr17,4680201,4680307,107,+,hg38,172,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17+4680201,TRUE,PELP1,-,FALSE,FALSE,-0,ALOX15,-38527,-,None.found,Inf,None.found,WHOLE BLOOD
chr17,4689093,4689207,115,+,hg38,1,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17+4689093,TRUE,PELP1,-,FALSE,FALSE,0,ALOX15,-47419,-,None.found,Inf,None.found,WHOLE BLOOD
chr6,4875736,4875839,104,+,hg38,166,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr6+4875736,TRUE,CDYL,+,FALSE,TRUE,-0,PRPF4B,810752,+,BRD2,-28092922,+,WHOLE BLOOD
chr10,4926907,4927134,228,-,hg38,57,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr10-4927134,FALSE,AKR1C6P,-,FALSE,TRUE,-10860,AKR1C3,-121630,+,KLF6,-1141852,-,WHOLE BLOOD
chr17,5338125,5338352,228,-,hg38,98,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17-5338352,TRUE,RABEP1,+,FALSE,FALSE,-0,RABEP1,-0,+,None.found,Inf,None.found,WHOLE BLOOD
chr17,5370208,5370324,117,-,hg38,2,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17-5370324,TRUE,RABEP1,+,FALSE,FALSE,-0,RABEP1,-0,+,None.found,Inf,None.found,WHOLE BLOOD
chr17,5399429,5399809,381,+,hg38,3,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17+5399429,TRUE,NUP88,-,FALSE,FALSE,-0,RABEP1,13088,+,None.found,Inf,None.found,WHOLE BLOOD
chr17,5567377,5567655,279,+,hg38,14,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17+5567377,TRUE,NLRP1,-,FALSE,FALSE,0,RABEP1,181036,+,None.found,Inf,None.found,WHOLE BLOOD
chr17,5570768,5570806,39,+,hg38,223,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17+5570768,TRUE,NLRP1,-,FALSE,FALSE,0,RABEP1,184427,+,None.found,Inf,None.found,WHOLE BLOOD
chr17,5570768,5570818,51,+,hg38,53,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17+5570768,TRUE,NLRP1,-,FALSE,FALSE,0,RABEP1,184427,+,None.found,Inf,None.found,WHOLE BLOOD
chr19,5612052,5612250,199,-,hg38,66,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19-5612250,TRUE,SAFB2,-,FALSE,TRUE,0,RFX2,380912,-,TCF3,-3959920,-,WHOLE BLOOD
chr19,5614442,5614625,184,+,hg38,79,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19+5614442,TRUE,SAFB2,-,FALSE,FALSE,0,RFX2,378720,-,TCF3,-3962112,-,WHOLE BLOOD
chr10,5760603,5761074,472,-,hg38,1,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr10-5761074,TRUE,FAM208B,+,FALSE,FALSE,-0,IL2RA,249618,-,KLF6,-1975792,-,WHOLE BLOOD
chr19,6269940,6270251,312,+,hg38,11,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19+6269940,TRUE,MLLT1,-,FALSE,FALSE,0,MLLT1,0,-,TCF3,-4617610,-,WHOLE BLOOD
chr19,6479473,6479637,165,-,hg38,177,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19-6479637,TRUE,DENND1C,-,FALSE,TRUE,0,MLLT1,-199688,-,TCF3,-4827307,-,WHOLE BLOOD
chr12,6574330,6574484,155,+,hg38,3,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr12+6574330,TRUE,CHD4,-,FALSE,FALSE,-0,NCAPD2,42363,+,CCND2,2268973,+,WHOLE BLOOD
chr17,6581161,6581207,47,+,hg38,298,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17+6581161,TRUE,KIAA0753,-,FALSE,FALSE,-0,XAF1,-174284,+,None.found,Inf,None.found,WHOLE BLOOD
chr17,6619385,6619728,344,-,hg38,20,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17-6619728,TRUE,KIAA0753,-,FALSE,TRUE,0,XAF1,-135717,+,None.found,Inf,None.found,WHOLE BLOOD
chr1,6621335,6621654,320,+,hg38,30,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr1+6621335,TRUE,PHF13,+,FALSE,TRUE,-0,ZBTB48,32054,+,LCK,-25629902,+,WHOLE BLOOD
chr11,6741059,6741168,110,+,hg38,255,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr11+6741059,FALSE,GVINP1,-,FALSE,FALSE,-19179,EIF3F,-1246259,+,LMO1,1483243,-,WHOLE BLOOD
chr20,6777601,6778073,473,-,hg38,3,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr20-6778073,TRUE,BMP2,+,FALSE,FALSE,-0,PLCB1,-1354190,+,None.found,Inf,None.found,WHOLE BLOOD
chr19,6783665,6783830,166,-,hg38,164,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19-6783830,TRUE,VAV1,+,FALSE,FALSE,0,VAV1,0,+,TCF3,-5131500,-,WHOLE BLOOD
chr19,6823655,6823755,101,-,hg38,129,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19-6823755,TRUE,VAV1,+,FALSE,FALSE,-0,VAV1,-0,+,TCF3,-5171425,-,WHOLE BLOOD
chr4,6845704,6845981,278,-,hg38,1,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr4-6845981,TRUE,KIAA0232,+,FALSE,FALSE,-0,S100P,148810,+,RAP1GDS1,-91415393,+,WHOLE BLOOD
chr19,6845745,6846280,536,+,hg38,2,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19+6845745,TRUE,VAV1,+,FALSE,TRUE,-0,VAV1,-0,+,TCF3,-5193415,-,WHOLE BLOOD
chr19,6846015,6846242,228,-,hg38,12,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19-6846242,TRUE,VAV1,+,FALSE,FALSE,-0,VAV1,-0,+,TCF3,-5193912,-,WHOLE BLOOD
chr12,6848161,6848220,60,-,hg38,163,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr12-6848220,TRUE,CDCA3,-,FALSE,TRUE,-0,PTPN6,-98355,+,CCND2,2542863,+,WHOLE BLOOD
chr1,6873149,6873311,163,-,hg38,126,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr1-6873311,TRUE,CAMTA1,+,FALSE,FALSE,0,CAMTA1,0,+,LCK,-25377926,+,WHOLE BLOOD
chr17,7025464,7025561,98,-,hg38,153,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17-7025561,TRUE,BCL6B,+,FALSE,FALSE,0,ALOX12,14824,+,None.found,Inf,None.found,WHOLE BLOOD
chr12,7059922,7059963,42,-,hg38,171,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr12-7059963,FALSE,C1S,+,FALSE,FALSE,-696,PTPN6,98646,+,CCND2,2754606,+,WHOLE BLOOD
chr17,7226735,7226908,174,+,hg38,138,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17+7226735,TRUE,DVL2,-,FALSE,FALSE,-0,ACAP1,-109792,+,None.found,Inf,None.found,WHOLE BLOOD
chr12,7478623,7478824,202,+,hg38,107,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr12+7478623,TRUE,CD163,-,FALSE,FALSE,-0,PTPN6,517306,+,CCND2,3173266,+,WHOLE BLOOD
chr17,7501399,7501445,47,-,hg38,156,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17-7501445,TRUE,POLR2A,+,FALSE,FALSE,-0,FGF11,56512,+,None.found,Inf,None.found,WHOLE BLOOD
chr7,7587390,7587573,184,+,hg38,56,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr7+7587390,TRUE,MIOS,+,FALSE,TRUE,-0,COL28A1,-51560,-,None.found,Inf,None.found,WHOLE BLOOD
chr7,7809659,7809860,202,-,hg38,168,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr7-7809860,TRUE,UMAD1,+,FALSE,FALSE,-0,COL28A1,-274030,-,None.found,Inf,None.found,WHOLE BLOOD
chr20,8089215,8089254,40,-,hg38,1,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr20-8089254,FALSE,PLCB1,+,FALSE,FALSE,-43009,PLCB1,-43009,+,None.found,Inf,None.found,WHOLE BLOOD
chr20,8089218,8089254,37,-,hg38,246,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr20-8089254,FALSE,PLCB1,+,FALSE,FALSE,-43009,PLCB1,-43009,+,None.found,Inf,None.found,WHOLE BLOOD
chrX,8282382,8282801,420,+,hg38,3,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chrX+8282382,FALSE,VCX2,-,FALSE,FALSE,-111114,MID1,2162926,-,MTCP1,146781650,-,WHOLE BLOOD
chr17,8441540,8441795,256,+,hg38,70,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17+8441540,TRUE,NDEL1,+,FALSE,TRUE,0,RPL26,-58289,-,None.found,Inf,None.found,WHOLE BLOOD
chr19,8461287,8461485,199,+,hg38,1,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19+8461287,TRUE,HNRNPM,+,FALSE,TRUE,0,ACTL9,236108,-,LYL1,4637739,-,WHOLE BLOOD
chr19,8461731,8461928,198,-,hg38,52,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19-8461928,TRUE,HNRNPM,+,FALSE,FALSE,0,ACTL9,235467,-,LYL1,4637098,-,WHOLE BLOOD
chr19,8462132,8462493,362,+,hg38,5,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19+8462132,TRUE,HNRNPM,+,FALSE,TRUE,0,ACTL9,235263,-,LYL1,4636894,-,WHOLE BLOOD
chr9,8462850,8463188,339,+,hg38,15,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr9+8462850,TRUE,PTPRD,-,FALSE,FALSE,-0,PTPRD,-0,-,JAK2,3334666,+,WHOLE BLOOD
chr17,8556100,8556411,312,+,hg38,35,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17+8556100,TRUE,MYH10,-,FALSE,FALSE,0,RPL26,-172849,-,None.found,Inf,None.found,WHOLE BLOOD
chr20,8580313,8580465,153,+,hg38,149,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr20+8580313,TRUE,PLCB1,+,FALSE,TRUE,-0,PLCB1,-0,+,None.found,Inf,None.found,WHOLE BLOOD
chrX,8583569,8583624,56,-,hg38,169,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chrX-8583624,TRUE,ANOS1,-,FALSE,TRUE,-0,MID1,1861684,-,MTCP1,146480408,-,WHOLE BLOOD
chr17,8854444,8854663,220,-,hg38,50,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17-8854663,TRUE,PIK3R6,-,FALSE,TRUE,0,PIK3R5,24251,-,None.found,Inf,None.found,WHOLE BLOOD
chrY,9139283,9139705,423,-,hg38,2,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chrY-9139705,FALSE,RBMY1A3P,-,FALSE,TRUE,177354,P2RY8,-7602560,-,None.found,Inf,None.found,WHOLE BLOOD
chr11,9205689,9205804,116,-,hg38,171,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr11-9205804,TRUE,DENND5A,-,FALSE,TRUE,0,ST5,-294852,-,LMO1,-937168,-,WHOLE BLOOD
chr11,9399128,9399522,395,-,hg38,4,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr11-9399522,TRUE,IPO7,+,FALSE,FALSE,0,SWAP70,-264553,+,LMO1,-1130886,-,WHOLE BLOOD
chr10,9557776,9557819,44,-,hg38,171,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr10-9557819,FALSE,LOC101928272,-,FALSE,TRUE,-262225,GATA3,1482617,+,KLF6,-5772537,-,WHOLE BLOOD
chr19,9573249,9573684,436,+,hg38,9,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19+9573249,TRUE,ZNF121,-,FALSE,FALSE,-0,DNMT1,560093,-,LYL1,3525777,-,WHOLE BLOOD
chr19,9634806,9634941,136,-,hg38,2,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19-9634941,FALSE,ZNF561-AS1,+,FALSE,FALSE,78,DNMT1,498401,-,LYL1,3464085,-,WHOLE BLOOD
chr3,9649123,9649183,61,-,hg38,1,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr3-9649183,FALSE,MTMR14,+,FALSE,FALSE,-248,TTLL3,-160775,+,None.found,Inf,None.found,WHOLE BLOOD
chr1,9694842,9694947,106,-,hg38,1,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr1-9694947,TRUE,PIK3CD,+,FALSE,FALSE,-0,PIK3CD,-0,+,LCK,-22556290,+,WHOLE BLOOD
chr9,10004752,10004870,119,-,hg38,177,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr9-10004870,TRUE,PTPRD,-,FALSE,TRUE,0,PTPRD,0,-,JAK2,4876686,+,WHOLE BLOOD
chr11,10033048,10033156,109,+,hg38,197,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr11+10033048,TRUE,SBF2,-,FALSE,FALSE,-0,SWAP70,280056,+,LMO1,-1764412,-,WHOLE BLOOD
chr11,10165037,10165171,135,+,hg38,78,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr11+10165037,TRUE,SBF2,-,FALSE,FALSE,0,MRVI1,408052,-,LMO1,-1896401,-,WHOLE BLOOD
chr19,10169721,10170105,385,+,hg38,32,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19+10169721,TRUE,DNMT1,-,FALSE,FALSE,0,DNMT1,0,-,LYL1,2929305,-,WHOLE BLOOD
chr19,10181492,10181695,204,+,hg38,59,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19+10181492,TRUE,DNMT1,-,FALSE,FALSE,0,DNMT1,0,-,LYL1,2917534,-,WHOLE BLOOD
chr19,10241642,10242264,623,+,hg38,1,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19+10241642,FALSE,MRPL4,+,FALSE,TRUE,-10320,ICAM1,-29197,+,LYL1,2857384,-,WHOLE BLOOD
chr11,10263149,10263437,289,+,hg38,45,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr11+10263149,TRUE,SBF2,-,FALSE,FALSE,0,MRVI1,309940,-,LMO1,-1994513,-,WHOLE BLOOD
chr19,10311121,10311394,274,+,hg38,71,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19+10311121,TRUE,FDX1L,-,FALSE,FALSE,-0,ICAM5,14342,+,LYL1,2787905,-,WHOLE BLOOD
chr17,10412751,10412909,159,-,hg38,21,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17-10412909,TRUE,"MYHAS,MYH8","+,-",FALSE,FALSE,-0,MYH1,79396,-,None.found,Inf,None.found,WHOLE BLOOD
chr19,10604286,10604505,220,-,hg38,114,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19-10604505,TRUE,SLC44A2,+,FALSE,FALSE,0,CDKN2D,-35525,-,LYL1,2494521,-,WHOLE BLOOD
chr19,10657449,10657805,357,-,hg38,43,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19-10657805,TRUE,ILF3,+,FALSE,FALSE,0,CDKN2D,-88825,-,LYL1,2441221,-,WHOLE BLOOD
chr19,10658742,10658910,169,+,hg38,81,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19+10658742,TRUE,ILF3,+,FALSE,TRUE,0,CDKN2D,-89762,-,LYL1,2440284,-,WHOLE BLOOD
chr19,10666943,10667282,340,+,hg38,12,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19+10666943,TRUE,ILF3,+,FALSE,TRUE,0,CDKN2D,-97963,-,LYL1,2432083,-,WHOLE BLOOD
chr19,10740447,10740509,63,+,hg38,6,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19+10740447,TRUE,DNM2,+,FALSE,TRUE,0,CDKN2D,-171467,-,LYL1,2358579,-,WHOLE BLOOD
chr1,11025651,11025923,273,-,hg38,23,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr1-11025923,FALSE,TARDBP,+,FALSE,FALSE,430,MTOR,80606,-,LCK,-21225314,+,WHOLE BLOOD
chr7,11043034,11043191,158,+,hg38,42,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr7+11043034,TRUE,PHF14,+,FALSE,TRUE,0,ETV1,2848193,-,None.found,Inf,None.found,WHOLE BLOOD
chr7,11110267,11110431,165,-,hg38,109,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr7-11110431,TRUE,PHF14,+,FALSE,FALSE,-0,ETV1,2780796,-,None.found,Inf,None.found,WHOLE BLOOD
chr19,11117651,11118014,364,-,hg38,19,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19-11118014,TRUE,LDLR,+,FALSE,FALSE,-0,SMARCA4,55731,+,LYL1,1981012,-,WHOLE BLOOD
chr19,11523435,11523607,173,+,hg38,216,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr19+11523435,TRUE,ECSIT,-,FALSE,FALSE,0,EPOR,-139092,-,LYL1,1575591,-,WHOLE BLOOD
chr4,11543706,11543829,124,-,hg38,187,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr4-11543829,FALSE,HS3ST1,-,FALSE,TRUE,-114915,S100P,4846658,+,RAP1GDS1,-86717545,+,WHOLE BLOOD
chr10,11607749,11607788,40,-,hg38,109,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr10-11607788,TRUE,USP6NL,-,FALSE,TRUE,0,GATA3,3532586,+,KLF6,-7822506,-,WHOLE BLOOD
chr7,11782590,11782703,114,-,hg38,142,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr7-11782703,TRUE,THSD7A,-,FALSE,TRUE,0,ETV1,2108524,-,None.found,Inf,None.found,WHOLE BLOOD
chrX,11834480,11834587,108,-,hg38,250,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chrX-11834587,FALSE,MSL3,+,FALSE,FALSE,58833,MID1,-1000896,-,MTCP1,143229445,-,WHOLE BLOOD
chr4,11849089,11849212,124,-,hg38,262,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr4-11849212,FALSE,LINC02360,-,FALSE,TRUE,-79743,S100P,5152041,+,RAP1GDS1,-86412162,+,WHOLE BLOOD
chr16,11896201,11896273,73,-,hg38,1,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr16-11896273,TRUE,GSPT1,-,FALSE,TRUE,0,GSPT1,0,-,None.found,Inf,None.found,WHOLE BLOOD
chr11,11916569,11916693,125,-,hg38,38,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr11-11916693,TRUE,USP47,+,FALSE,FALSE,-0,MRVI1,-1222704,-,LMO1,-3648057,-,WHOLE BLOOD
chr17,12033038,12033233,196,+,hg38,10,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17+12033038,TRUE,MAP2K4,+,FALSE,TRUE,0,MAP2K4,0,+,None.found,Inf,None.found,WHOLE BLOOD
chr17,12045601,12045721,121,+,hg38,151,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17+12045601,TRUE,MAP2K4,+,FALSE,TRUE,0,MAP2K4,0,+,None.found,Inf,None.found,WHOLE BLOOD
chr17,12104871,12104954,84,-,hg38,66,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17-12104954,TRUE,MAP2K4,+,FALSE,FALSE,-0,MAP2K4,-0,+,None.found,Inf,None.found,WHOLE BLOOD
chr17,12108104,12108351,248,-,hg38,8,p304002,GTSP5833-3,GTSP5833,UNS,0,0,Illumina,chr17-12108351,TRUE,MAP2K4,+,FALSE,FALSE,-0,MAP2K4,-0,+,None.found,Inf,None.found,WHOLE BLOOD
